"num","Facility Name","freq","Zip","Waiting Time","Time Until Sent Home","Broken Bone","Transfer Time","Borough","% Penalty(National Avg: 0.28%)","% Prompt Help(National Avg: 80%)","% Pain Controlled(National Avg: 93%)","% Rated 9 or 10(National Avg: 68%)","% Recommend Hospital( National Avg:70%)"
"1","Bellevue Hospital Center",23612,10016,63,230,54,192,MANHATTAN,1.06,85,77,55,60
"2","Bronx-Lebanon Hospital Center - Concourse Division",24388,10457,38,180,73,195,BRONX,1.25,79,64,43,48
"3","Bronx-Lebanon Hospital Center - Fulton Division",4321,10456,38,180,73,195,BRONX,1.25,79,64,43,48
"4","Brookdale Hospital Medical Center",16232,11212,53,143,70,,BROOKLYN,0.85,80,63,37,41
"5","Brooklyn Hospital Center - Downtown Campus",17998,11201,100,189,92,373,BROOKLYN,1.25,84,74,49,53
"6","Calvary Hospital Inc",2939,1122O, , , , , , , , , , 
"7","Coney Island Hospital",10979,11235,64,189,56,142,BROOKLYN,1.12,86,82,56,55
"8","Elmhurst Hospital Center",24713,11373,84,204,59,345,QUEENS,1.13,84,77,52,50
"9","Flushing Hospital Medical Center",17100,11355,44,149,66,220,QUEENS,1.45,87,78,45,52 
"10","Forest Hills Hospital",17175,11375,l44,165,90,354,QUEENS,0.9,83,75,49,55
"11","Harlem Hospital Center",12023,10037,87,174,91,133,MANHATTAN,0.64,83,70,53,55
"12","Henry J. Carter Specialty Hospital",175,10035, , , , , , , , , , 
"13","Hospital for Special Surgery",13908,10021, , , , ,MANHATTAN,-0.56,95,91,85,90
"14","Interfaith Medical Center",9150,11213,98,238,126,325,BROOKLYN,0.79,79,62,41,43
"15","Jacobi Medical Center",20923,10461,93,228,42,307,BRONX,1.22,85,77,57,65
"16","Jamaica Hospital Medical Center",23610,11418,55,236,26,197,QUEENS,1.22,79,65,43,45
"17","Kings County Hospital Center",25498,11203,120,285,57,531,BROOKLYN,0.8,84,70,55,64
"18","Kingsbrook Jewish Medical Center",9277,11203,44,172,100,162,BROOKLYN,0.81,83,68,52,58
"19","Lenox Hill Hospital",32026,10021,21,172,72,153,MANHATTAN,0.59,89,81,58,68
